npsn,jenis,nama,kecamatan
10496750,TK,NEGERI 6,Binawidya
70013084,TK,NEGERI 7,Payung Sekaki
10496728,TK,NEGERI PEMBINA KEC. MARPOYAN DAMAI,Marpoyan Damai
10496850,TK,NUR ILAHI,Binawidya
70000902,TK,NUR KHAZANAH KIDS PEKANBARU,Kulim
69957155,TK,NURUL AULIA SYAM,Marpoyan Damai
70062445,TK,NURUL AZHAR LILI,Sukajadi
10496923,TK,NURUL HUDA,Bukit Raya
10496802,TK,NURUL IMAN,Bukit Raya
69919560,TK,NURUL IMAN,Tenayan Raya
10496880,TK,NURUL ISLAM,Bukit Raya
10496856,TK,NURUL JANNAH,Tuahmadani
70060186,TK,PATH SCHOOL,Bukit Raya
69991074,TK,PAUD-QURROTA AYUN,Tenayan Raya
69989313,TK,PELITA AGAPE,Limapuluh
70010548,TK,PELITA HARAPAN,Tenayan Raya
69831651,TK,PERDANA,Payung Sekaki
70038847,TK,PERMATA ATIKA PURI,Tenayan Raya
10496803,TK,PERTIWI KOTA,Limapuluh
69925836,TK,PERTIWI SENAPELAN,Senapelan
10496753,TK,PERTIWI SETDA PROPINSI,Pekanbaru Kota
70060465,TK,PRECIOUS SCHOOL MONTESSORI,Payung Sekaki
69925843,TK,PRIME MONTESSORI SCHOOL,Sukajadi
10497445,TK,PUTRA PERSADA,Kulim
69919854,TK,RAISA,Kulim
69907707,TK,RAISYAH,Bukit Raya
69919561,TK,RAMADHANI,Tuahmadani
69831482,TK,RAUDATUL ATFAL IHKLAS,Payung Sekaki
10496857,TK,RAUDHATUL AMILIN,Bukit Raya
10497108,TK,RAUDHATUR RAHMAH,Marpoyan Damai
10497086,TK,RIDHA,Sukajadi
10496722,TK,RIYADUL JANNAH,Rumbai
69919855,TK,SAMUEL,Limapuluh
69831643,TK,SANTA MARIA,Payung Sekaki
69831690,TK,SANTA VERONIKA,Rumbai
70007809,TK,SATU BANGSA PRESCHOOL,Bukit Raya
60724794,TK,SES,Payung Sekaki
69919035,TK,SHAFA AZZAHRA ZULVI,Tuahmadani
70031525,TK,SINROS DHARMA BAKTI,Payung Sekaki
69983672,TK,SION,Rumbai
60724776,TK,STANLEY,Sukajadi
70054339,TK,SUN GLOBAL SCHOOL,Payung Sekaki
10496725,TK,SYAFANUR,Binawidya
10496943,TK,SYAFANUR 2,Payung Sekaki
69987953,TK,SYAFANUR 3,Binawidya
69919043,TK,SYUHADA,Tenayan Raya
69967518,TK,TAHFIDZ AL - FATIH,Marpoyan Damai
70044701,TK,TAHFIDZ AL-AQILAH,Tuahmadani
70057435,TK,TAHFIZH AL HUSNA PEKANBARU,Limapuluh
70032232,TK,TAHFIZH AR ROYYAN,Bukit Raya
69991450,TK,TAHFIZH F3,Tenayan Raya
10497087,TK,TARABIYAH ISLAMIYAH,Sukajadi
69964873,TK,TAULADAN SYAFITRI,Marpoyan Damai
70015721,TK,TEKNOLOGI PEKANBARU,Tuahmadani
10496724,TK,TELKOM PEKANBARU,Marpoyan Damai
69980908,TK,THE PLAYSKOOL,Marpoyan Damai
10496930,TK,TIARA KIDS ISLAMIC,Tuahmadani
69831670,TK,TITANIA KIDS,Tenayan Raya
10496726,TK,TRI INSANI PERMATA,Tuahmadani
69861843,TK,TRILALA,Rumbai
69831678,TK,TUNAS BANGSA,Limapuluh
10496755,TK,TUNAS HARAPAN,Marpoyan Damai
70038541,TK,TUNAS KHALIFAH,Tuahmadani
69979506,TK,UMARA KIDS,Tuahmadani
70039961,TK,UNILAK GOLDEN SCHOOL,Rumbai
70049693,TK,VICTORY SCHOOL,Payung Sekaki
10496858,TK,WALDHA AL ISLAMY (WHY),Tuahmadani
69831677,TK,WITAMA NASIONAL PLUS,Limapuluh
69957154,TK,WITAMA NASIONAL PLUS SRIKANDI,Binawidya
70002015,TK,YAPENDIK SHALOM,Pekanbaru Kota
10496757,TK,YKWI I KOTA,Pekanbaru Kota
10496805,TK,YMGM,Pekanbaru Kota
10496774,TK,ZAMRAD,Tenayan Raya
69831671,TK,ZAMRAD 2,Tenayan Raya
69980632,TK,ZULAIKHA KASIH BUNDA,Tenayan Raya
69970034,TPA,ABIDARI ISLAMIC CREATIVE SCHOOL,Bukit Raya
70047146,TPA,ABIDARI ISLAMIC CREATIVE SCHOOL 2,Pekanbaru Kota
70051617,TPA,ADZKIYA,Marpoyan Damai
69974596,TPA,AL FAIQ,Binawidya
70008394,TPA,AL FATIHA,Binawidya
69919562,TPA,AL-ITTIHAD,Rumbai
69967996,TPA,ALFA KIDS,Binawidya
70032185,TPA,ALUMNA INDONESIA ISLAMIC SCHOOL,Sail
70040167,TPA,ANUGERAH BUNDA,Tuahmadani
69984561,TPA,BABY SCHOOL & PRE SCHOOL QURROTA A YUN,Sukajadi
70061307,TPA,BE STAR SCHOOL,Binawidya
70044580,TPA,BEI PLAYSCHOOL,Pekanbaru Kota
69862003,TPA,BINA KARYA ABADI,Binawidya
69971838,TPA,BIRUNI,Tenayan Raya
69920460,TPA,CEMARA RIDASA,Binawidya
70044015,TPA,CERLIANA,Bukit Raya
69977481,TPA,DUTA RAUDHA CENTER RIAU,Rumbai Timur
69986189,TPA,FUTURE ISLAMIC SCHOOL,Payung Sekaki
69968083,TPA,HAPPY STAR KIDS,Binawidya
70012935,TPA,HUMAIROH 4,Binawidya
70040551,TPA,I.C.E ISLAMIC BILINGUAL SCHOOL,Pekanbaru Kota
69862002,TPA,IHSAN FIKRI,Tuahmadani
69918934,TPA,IT BUNAYYA,Bukit Raya
70057226,TPA,KANAKA,Sail
69862001,TPA,KIDS CENTRE AL FITYAH,Tuahmadani
69862006,TPA,LILIK,Bukit Raya
69957078,TPA,MADANI CENDEKIA,Rumbai
70044448,TPA,MAFAAZA ISLAMIC PRESCHOOL AND KINDERGARTEN,Tuahmadani
69862016,TPA,MUTIARA BUNDA,Pekanbaru Kota
69919710,TPA,NURJANNAH,Tenayan Raya
69984351,TPA,PERSISTRI,Binawidya
69862000,TPA,QUANTUM KIDS 3,Tuahmadani
69990159,TPA,RAUDHATUL JANNAH AL WASHLIYAH,Senapelan
69862004,TPA,SANTA MARIA,Payung Sekaki
70033785,TPA,SATU BANGSA PRESCHOOL,Bukit Raya
70047831,TPA,SHAFIYYAH,Tuahmadani
70054338,TPA,SUN GLOBAL SCHOOL,Payung Sekaki
69972916,TPA,SYAFANUR,Payung Sekaki
69979816,TPA,SYAFANUR 3,Binawidya
70058159,TPA,TAHFIZH ALFARABI KIDS CENTER,Tuahmadani
69967864,TPA,TRI INSANI PERMATA,Binawidya
70038542,TPA,TUNAS KHALIFAH,Tuahmadani
69862011,TPA,Tauladan Syafitri,Marpoyan Damai
69973350,TPA,UMMI AS - SHIFA,Marpoyan Damai
70039958,TPA,UNILAK GOLDEN SCHOOL,Rumbai
