npsn,jenis,nama,kecamatan
70061851,KB,SAHABAT BUNDA CERIA,Kulim
69861881,KB,SANTA MARIA,Payung Sekaki
70033786,KB,SATU BANGSA PRESCHOOL,Bukit Raya
69861910,KB,SAYANG BUNDA,Marpoyan Damai
69919538,KB,SEMPOA MAWADDAH,Rumbai
69980633,KB,SES,Payung Sekaki
69861868,KB,SHAFIYYAH,Tuahmadani
69861845,KB,SHALSABILA EDUCATION,Binawidya
70031526,KB,SINROS DHARMA BAKTI,Payung Sekaki
69861883,KB,SITI SAWIAH BAITUSSALAM,Payung Sekaki
69964605,KB,SUNRISE SCHOOL,Limapuluh
69861854,KB,SYAFANUR,Tuahmadani
69861889,KB,SYAFANUR 3,Payung Sekaki
69861857,KB,SYEKH AT TAMIMI,Tuahmadani
69981473,KB,"TAMAN AZHAR "" AL-AZHAR SYIFA BUDI PEKANBARU",Marpoyan Damai
69861918,KB,TAULADAN SYAFITRI,Marpoyan Damai
69861859,KB,TIGA PERMATA,Tuahmadani
69919548,KB,TRIGUNA DHARMA SCHOOL,Limapuluh
69956872,KB,TUNAS BAKTI,Marpoyan Damai
69948112,KB,TUNAS BANGSA,Limapuluh
69861864,KB,TUNAS KHALIFAH,Tuahmadani
70039957,KB,UNILAK GOLDEN SCHOOL,Rumbai
69861955,KB,WITAMA NASIONAL PLUS,Limapuluh
70010880,RA,ABDUL RAHMAN,Payung Sekaki
69731067,RA,ADINDA,Tuahmadani
69731068,RA,AFFAN KIDS,Tuahmadani
69755672,RA,AL FITRAH 2,Bukit Raya
69731072,RA,AL FITYAH,Tuahmadani
70030188,RA,AL HADI KIDS,Binawidya
69755683,RA,AL HANIF,Binawidya
69755680,RA,AL KAYYIS,Tenayan Raya
70027015,RA,AL KINDI 2,Tenayan Raya
69731046,RA,AL MADHANI,Bukit Raya
70044477,RA,AL MUKMINUN,Kulim
69731049,RA,AL- KINDI,Limapuluh
69731050,RA,AL-FALAH,Marpoyan Damai
69731069,RA,AL-FIKRA,Tuahmadani
69757279,RA,AL-HUDA,Binawidya
69731051,RA,AL-KAUTSAR,Marpoyan Damai
70010825,RA,AL-KIFAYAH RIAU,Binawidya
70010844,RA,AL-MUAWWANAH RUMBAI,Rumbai
69731071,RA,AL-UBUDIYAH,Binawidya
69975682,RA,AL-UBUDIYAH 2,Tenayan Raya
70030408,RA,ALAM TAHFIDZ IBNU AL MUBAROK,Rumbai
70035690,RA,ALFI LIL ILMI,Payung Sekaki
69994280,RA,ALMA,Tuahmadani
69994283,RA,ALMAHYRA,Rumbai Timur
69731074,RA,ALMIRA KIDS CENTER,Binawidya
69994288,RA,ALZAID KIDS,Tenayan Raya
69755675,RA,AN NAMIROH SAIL,Tenayan Raya
69731054,RA,AN-NISA,Marpoyan Damai
69731077,RA,AR - RAHIM,Binawidya
69755676,RA,AR RAHMAN,Tuahmadani
69731061,RA,AR RIDHO KIDS,Rumbai
69731094,RA,AR- RAHMI,Tenayan Raya
69994983,RA,AR-RAZZAQ,Rumbai
69975680,RA,AS TSAQIIF KIDS,Tenayan Raya
69731091,RA,AT TOLAWAH,Tenayan Raya
70010824,RA,ATQIYA`,Marpoyan Damai
70062235,RA,ATTALLAH,Tenayan Raya
69731059,RA,AWALUDDIN,Pekanbaru Kota
69755677,RA,AYYATUL HUSNA,Tuahmadani
69731092,RA,AZ-ZAHRA,Tenayan Raya
70030160,RA,AZ-ZAHRA KIDS,Rumbai
70010847,RA,AZZURA SYAKIRA,Rumbai
69940830,RA,Aisyah Islam Terpadu,Marpoyan Damai
69940829,RA,Al Misykaah,Binawidya
69854516,RA,Anak Bangsa,Kulim
69883857,RA,Asiah,Bukit Raya
69940828,RA,Asy-Syifa,Tuahmadani
69883860,RA,Azalia,Tuahmadani
70044934,RA,Azam Insan Cendikia,Binawidya
69755681,RA,BAITUL MUTTAQIEN,Rumbai
69755682,RA,BUNDA SUWARNI,Marpoyan Damai
69883858,RA,Baitul Iqbal,Rumbai Timur
69731078,RA,DEWI ANGGREK,Tuahmadani
69995277,RA,EL-HAQQA QURANIC SCHOOL,Tuahmadani
69731079,RA,FADHILAH,Tuahmadani
69731080,RA,FATHIRA,Binawidya
69994289,RA,FIJANATI,Tenayan Raya
70014599,RA,Firdaus Kids,Marpoyan Damai
69731081,RA,GRIYA BINA WIDYA,Binawidya
69731048,RA,HIDAYAH,Bukit Raya
69731095,RA,HUBBULLAH,Tenayan Raya
70030137,RA,IBNUSINA KIDS 2,Binawidya
69883861,RA,Ibnu Sina 1,Tenayan Raya
69731082,RA,JAMIATUL MUKHLISIN,Tuahmadani
69731083,RA,JANNATUL `ILMI,Tuahmadani
69731057,RA,KHOIRU UMMAH,Payung Sekaki
69755678,RA,KURNIA,Tuahmadani
70010833,RA,KURNIA 1,Tuahmadani
69731066,RA,LA-TAHZAN,Senapelan
70014596,RA,MIFTAHUNNAJAH,Kulim
69753340,RA,MILATUL KHAIR,Payung Sekaki
70010874,RA,MUMTAZ,Marpoyan Damai
69731085,RA,MUNZHIROH,Tuahmadani
70026776,RA,MUNZHIROH 3,Tenayan Raya
69731086,RA,MUTIARA UMMI,Binawidya
69975681,RA,NURUL AMAL,Marpoyan Damai
69731062,RA,NURUL HIDAYAH,Rumbai Barat
69994285,RA,Nurul Jadid,Binawidya
70010839,RA,PUTRA ANUGRAH,Marpoyan Damai
69731088,RA,RA.RAIHANAH,Binawidya
69994282,RA,RAFARDHAN,Tenayan Raya
69975679,RA,RAUDHOH HASANAH,Tuahmadani
69994287,RA,RIDHO ILAHI,Tuahmadani
69731089,RA,RUMAH PENA PRIMA,Binawidya
69994290,RA,SABILUL JANNAH,Payung Sekaki
70010827,RA,TAHFIZH AT-TAQWA,Bukit Raya
69755679,RA,TEKNOLOGI PERMATA BUNDA,Tuahmadani
69731090,RA,TUNAS CENDIKIA MUSLIM,Tuahmadani
69731087,RA,TUNAS CENDIKIA MUSLIM (TASKIM) 2,Tuahmadani
69731060,RA,ULUL AZMI,Pekanbaru Kota
70027703,RA,UMMI NUR MUKHLIS,Payung Sekaki
70030218,RA,alfia kanza,Tenayan Raya
69862027,SPS,ANGGREK,Marpoyan Damai
69862038,SPS,AZ - ZAHRA,Sail
69897525,SPS,Amalliah,Bukit Raya
69957896,SPS,As-Syafi iyah,Limapuluh
69897528,SPS,Az-Zahra Marwa,Tenayan Raya
70061301,SPS,BANDAR KHAYANGAN,Rumbai Timur
69862036,SPS,BENING KIDS,Tenayan Raya
69862039,SPS,BUNGA KIAMBANG,Sail
70063985,SPS,CAHAYA MELEBUNG,Tenayan Raya
69862044,SPS,DAMBAAN BOENDA,Sukajadi
69862049,SPS,HARAPAN BANGSA,Rumbai
69862041,SPS,MAHKOTA DEWA,Sail
69862042,SPS,MEKAR JAYA,Pekanbaru Kota
69862037,SPS,MEKAR SERUNI,Tenayan Raya
69995620,SPS,MUNZHIROH 2,Sukajadi
69861904,SPS,MUTIARA BELIA,Bukit Raya
69950315,SPS,PERMATA,Rumbai Timur
69862029,SPS,PERMATA BUNDA,Tenayan Raya
69862024,SPS,PUCUK REBUNG,Marpoyan Damai
69862022,SPS,PUCUK REBUNG HARAPAN,Bukit Raya
69957895,SPS,Salamadani,Binawidya
69862048,SPS,TUNAS HARAPAN,Rumbai
69957897,SPS,Taruna Islam,Tenayan Raya
69897526,SPS,Uniq,Marpoyan Damai
70013265,TK,ABDUL MULUK,Tenayan Raya
69948110,TK,ABIDARI ISLAMIC CREATIVE SCHOOL,Bukit Raya
70047077,TK,ABIDARI ISLAMIC CREATIVE SCHOOL 2,Pekanbaru Kota
10496831,TK,ADHYAKSA XXVIII,Sukajadi
70064436,TK,ADZKIYA,Marpoyan Damai
69968181,TK,AGRECIA,Tuahmadani
69831682,TK,AISIYAH BUSTANUL,Sukajadi
10496778,TK,AISYIAH IX,Kulim
10496833,TK,AISYIYAH 3,Rumbai Timur
69831695,TK,AISYIYAH BUSTANUL VI,Rumbai
10496730,TK,AISYIYAH IV,Sail
69831645,TK,AISYIYAH VII,Payung Sekaki
10497441,TK,AISYIYAH VIII,Binawidya
69831687,TK,AISYIYAH XII,Rumbai
70008132,TK,AL - FATIHA,Tuahmadani
69967901,TK,AL - FAUZIAH,Rumbai Barat
69831692,TK,AL - MUNAWWARAH,Rumbai
10496688,TK,AL AMIN,Rumbai
60724758,TK,AL ASHRIYAH,Bukit Raya
10496920,TK,AL AZHAR SYIFA BUDI,Marpoyan Damai
10496768,TK,AL FAJAR,Binawidya
10496834,TK,AL FATTAH,Senapelan
10496835,TK,AL FITHRAH,Marpoyan Damai
10496691,TK,AL FITRAH,Rumbai
70040716,TK,AL HADI,Tuahmadani
10496939,TK,AL HIDAYAH,Payung Sekaki
69932485,TK,AL HUSNA PEKANBARU,Tuahmadani
69975558,TK,AL INSYIROH,Kulim
10497079,TK,AL JAMIK,Sukajadi
10496737,TK,AL KHAIRAT,Marpoyan Damai
10496696,TK,AL MANAR,Marpoyan Damai
10496837,TK,AL MASRURIYAH,Tuahmadani
70050566,TK,AL-HANAN,Bukit Raya
69921808,TK,AL-KHAIRAT MUNAWWARAH,Marpoyan Damai
69964729,TK,AL-KHAYRI KIDS,Senapelan
69831588,TK,AL-MUNAWAROH,Payung Sekaki
69919552,TK,AL-RASYID,Marpoyan Damai
